E1228 21:33:57.461279200     585 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {created_time:"2022-12-28T21:33:57.4605342+01:00", errno:92, os_error:"Protocol not available", syscall:"getsockopt(SO_REUSEPORT)"}
<71, 21:34:06, 0, 71> 
<72, 21:34:06, 0, 72> 
<73, 21:34:06, 0, 73> 
<74, 21:34:06, 0, 74> 
<75, 21:34:06, 0, 75> 
<76, 21:34:06, 0, 76> 
<77, 21:34:06, 0, 77> 
<78, 21:34:06, 0, 78> 
<79, 21:34:06, 0, 79> 
<80, 21:34:06, 0, 80> 
<81, 21:34:06, 0, 81> 
<82, 21:34:06, 0, 82> 
<83, 21:34:07, 0, 83> 
<84, 21:34:07, 0, 84> 
<0, 21:34:07, 0, 0> 
<1, 21:34:07, 0, 1> 
